id;nom;prenoms;Genre;nomproduit;categorie;prixunitaire;dateachat
39;Cissé;Nabila;Female;Shampooing réparateur Elsève;Produits de soin capillaire;1500;2022-05-14 16:51:00.0000000
40;Keita;Kwadwo;Male;Rillettes de poisson;Charcuterie;1300;2022-07-30 17:57:00.0000000
41;Adams;Christian;Male;Sachet de sucre Daddy;Sucrerie;500;2022-08-04 12:33:00.0000000
42;Howard;Julian;Male;Sachet de piment en poudre;Condiment;500;2022-12-21 01:21:00.0000000
43;Maalouf;Mohammed;Male;Andouille;Charcuterie;1600;2022-08-04 23:59:00.0000000
44;Ibrahim;Aisha;Female;Gel douche exfoliant Nivea;Produits de douche;1200;2022-08-18 01:45:00.0000000
45;Mensah;Kwame;Male;Petite bouteille de Coca-Cola;Boisson;500;2022-01-21 16:17:00.0000000
46;Amponsah;Kwaku;Male;Saucisse au poivre;Charcuterie;1600;2022-07-23 18:14:00.0000000
47;Camara;Fanta;Female;Sachet de pâtes de curry rouge;Condiment;750;2022-07-10 15:04:00.0000000
48;Nwadike;Nneka;Female;Crème anti-rides Nivea;Produits de soin pour le visage;2500;2022-10-06 08:36:00.0000000
49;Nkrumah;Jabari;Male;Pâté de marcassin aux airelles;Charcuterie;1800;2022-01-23 12:31:00.0000000
50;Nkrumah;Fatima;Female;Rillettes de canard;Charcuterie;1400;2022-05-18 21:40:00.0000000
51;Nnamdi;Emeka;Male;Pâté de porc;Charcuterie;1200;2022-05-16 20:42:00.0000000
52;Eze;Chukwudi;Male;Crème réparatrice pour les mains Neutrogena;Produits de soin pour les mains;1000;2022-06-24 19:03:00.0000000
53;Okonkwo;Chinwe;Male;Pain de savon Lux;Hygiène;500;2022-11-18 03:09:00.0000000
54;Keita;Kwadwo;Male;Shampooing réparateur Elsève;Produits de soin capillaire;1500;2022-09-04 12:02:00.0000000
55;Keita;Mamoudou;Male;Terrine de faisan;Charcuterie;1700;2022-08-25 23:36:00.0000000
56;Lopez;Angela;Female;Shampooing anti-chute Vichy;Produits de soin capillaire;1800;2022-10-07 05:35:00.0000000
57;Clark;Isaac;Male;Sachet de feuilles de thé;Thé;500;2022-02-05 05:31:00.0000000
58;Moyo;Simba;Male;Paquet de riz complet;Alimentation;1500;2022-03-16 16:05:00.0000000
59;Phillips;Daniel;Male;Dentifrice blancheur intense Colgate;Produits d'hygiène dentaire;500;2022-03-01 03:23:00.0000000
60;Foster;Ruth;Female;Gel douche nourrissant à l'huile d'amande Neutrogena;Produits de douche;1200;2022-10-02 22:40:00.0000000
61;Carter;Emily;Female;Sachet de graines de sésame;Condiment;750;2022-02-08 21:00:00.0000000
62;Morris;Lily;Female;Saucisson de Lyon;Charcuterie;1400;2022-09-02 01:53:00.0000000
63;Bell;David;Male;Saucisse de porc;Charcuterie;1600;2022-07-30 01:21:00.0000000
64;Nelson;Zoe;Female;Bouteille de Jack Daniel;Liqueur;5000;2022-10-26 10:32:00.0000000
65;Diop;Sekou;Male;Pot de crème hydratante Nivea;Hygiène;1500;2022-03-26 14:52:00.0000000
66;Bailey;Danielle;Female;Soin contour des lèvres L'Oréal;Produits de soin des lèvres;700;2022-11-23 18:51:00.0000000
67;Toure;Sekou;Male;Crème anti-âge L'Oréal;Produits de soin pour le visage;2500;2022-03-13 03:14:00.0000000
68;Flores;Natalie;Female;Jambon de Montagne Noire;Charcuterie;2000;2022-05-08 05:46:00.0000000
69;Parker;John;Male;Saucisse sèche;Charcuterie;1700;2022-09-03 16:37:00.0000000
70;Mensah;Abigail;Female;Soin contour des lèvres L'Oréal;Produits de soin des lèvres;700;2022-01-14 07:05:00.0000000
71;Miller;Hazel;Female;Crème réparatrice pour les pieds Scholl;Produits de soin pour les pieds;1500;2022-08-30 23:00:00.0000000
72;Jalloh;Saidi;Male;Baume nourrissant pour les mains L'Occitane;Produits de soin pour les mains;1000;2022-01-14 10:08:00.0000000
73;White;Joseph;Male;Sachet de thé vert;Thé;500;2022-04-25 14:47:00.0000000
74;Lopez;Amanda;Female;Pâté de cerf;Charcuterie;1800;2022-01-30 19:04:00.0000000
75;Bonsu;Osei;Male;Gel nettoyant visage purifiant L'Oréal;Produits de soin pour le visage;1800;2022-04-16 18:41:00.0000000
76;Ogbonna;Chinwe;Female;Terrine de chevreuil;Charcuterie;1700;2022-11-12 01:07:00.0000000
77;Okoro;Chinedu;Male;Pâté de perdreau;Charcuterie;1800;2022-11-08 12:49:00.0000000
78;Diaz;Alan;Male;Crème pour les pieds à l'urée Scholl;Produits de soin pour les pieds;1500;2022-10-17 01:44:00.0000000
79;Nwachukwu;Chinelo;Female;Shampooing hydratant Timotei;Produits de soin capillaire;1500;2022-03-28 20:08:00.0000000
80;Maalouf;Mohammed;Male;Crème solaire peaux sensibles Avène;Produits de protection solaire;2000;2022-08-03 16:57:00.0000000
81;Lopez;Angela;Female;Sachet de poivre noir;Condiment;500;2022-04-29 02:14:00.0000000
82;Howard;Michelle;Female;Paquet de biscuits Petit Beurre;Biscuits;1000;2022-09-27 21:27:00.0000000
83;Foster;Luke;Male;Soin contour des lèvres L'Oréal;Produits de soin des lèvres;700;2022-07-07 07:12:00.0000000
84;Abubakar;Musa;Male;Sachet de sel;Condiment;500;2022-04-09 04:29:00.0000000
85;Perez;Elijah;Male;Baume nourrissant pour les mains Nuxe;Produits de soin pour les mains;1000;2022-11-03 15:43:00.0000000
86;Richardson;Julia;Female;Mortadelle;Charcuterie;1700;2022-06-11 04:03:00.0000000
87;Edwards;Grace;Female;Crème raffermissante pour le corps Garnier;Produits de soin pour le corps;2000;2022-05-16 00:52:00.0000000
88;Adewale;Babatunde;Male;Gel douche relaxant L'Occitane;Produits de douche;1200;2022-02-23 18:44:00.0000000
89;King;Kevin;Male;Terrine de pigeon;Charcuterie;1700;2022-10-09 12:45:00.0000000
90;Harris;Karen;Female;Crème solaire visage et corps biodégradable La Roche-Posay;Produits de protection solaire;2000;2022-03-30 20:43:00.0000000
91;Dlamini;Nkosi;Male;Boîte de pâte de tomate;Condiment;750;2022-10-04 16:23:00.0000000
92;Asante;Kwame;Male;Gel douche exfoliant Nivea;Produits de douche;1200;2022-04-10 21:45:00.0000000
93;Murphy;Owen;Male;Terrine de faisan aux morilles;Charcuterie;1700;2022-04-15 12:13:00.0000000
94;Wright;Sebastian;Male;Rillettes de thon au citron;Charcuterie;1500;2022-07-22 00:04:00.0000000
95;Wood;Gerald;Male;Rillettes d'oie;Charcuterie;1500;2022-12-20 23:24:00.0000000
96;Ba;Adama;Female;Soin anti-fatigue pour le visage Nivea;Produits de soin pour le visage;2500;2022-06-25 22:01:00.0000000
97;Adams;Christian;Male;Lingettes démaquillantes biodégradables Nivea;Produits de démaquillage;800;2022-07-19 03:21:00.0000000
98;Ba;Adama;Female;Jambon de la Forêt de Marly;Charcuterie;2000;2022-08-02 00:55:00.0000000
99;Nelson;Jonathan;Male;Saucisse fumée;Charcuterie;1400;2022-01-24 07:03:00.0000000
100;Thompson;Henry;Male;Bouteille de jus d'orange Jafpp;Jus;1500;2022-06-04 06:03:00.0000000
101;Russell;Wyatt;Male;Crème pour les mains Neutrogena;Produits de soin pour les mains;1000;2022-10-22 23:44:00.0000000
102;Hernandez;William;Male;Lingettes démaquillantes Nivea;Produits de démaquillage;800;2022-12-03 18:04:00.0000000
103;Nelson;Zoe;Female;Pâté de chevreuil;Charcuterie;1800;2022-04-15 16:56:00.0000000
104;Keita;Fatima;Female;Pâté de cerf;Charcuterie;1800;2022-03-06 08:08:00.0000000
105;King;Betty;Female;Paquet de biscuits au chocolat;Biscuits;1000;2022-04-26 16:49:00.0000000
106;Mitchell;Donna;Female;Saucisson à l'Espelette;Charcuterie;1400;2022-01-22 20:47:00.0000000
107;James;Steven;Male;Pâté de canard;Charcuterie;1500;2022-10-30 13:10:00.0000000
108;Nkrumah;Fatima;Female;Pot de confiture de fraises;Condiment;1000;2022-04-20 23:39:00.0000000
109;Bah;Nabila;Female;Saucisson de Lyon;Charcuterie;1400;2022-06-09 03:17:00.0000000
110;Asante;Kwame;Male;Shampooing hydratant Pantene;Produits de soin capillaire;1500;2022-07-13 00:45:00.0000000
111;Kamau;Aisha;Female;Rillettes de thon au citron;Charcuterie;1500;2022-09-24 22:45:00.0000000
112;Nwadike;Ngozi;Female;Paquet de popcorn sucré;Snack;750;2022-01-07 05:18:00.0000000
113;Hughes;Grace;Female;Shampooing hydratant Pantene;Produits de soin capillaire;1500;2022-04-02 04:13:00.0000000
114;Maalouf;Mohammed;Male;Saucisson à la pistache;Charcuterie;1800;2022-06-12 10:47:00.0000000
115;Young;Victoria;Female;Saucisson à l'anis;Charcuterie;1400;2022-06-01 21:03:00.0000000
116;Cissé;Nabila;Female;Sachet de grains de café arabica;Café;1000;2022-10-12 13:39:00.0000000
117;Evans;Matthew;Male;Jambon cru;Charcuterie;1700;2022-03-03 13:03:00.0000000
118;Onyeama;Obinna;Male;Dentifrice reminéralisant Elmex;Produits d'hygiène dentaire;500;2022-06-26 14:32:00.0000000
119;Bah;Saidou;Male;Saucisse de dinde;Charcuterie;1600;2022-07-02 08:54:00.0000000
120;Touré;Aminata;Female;Dentifrice bio blanchissant Lavera;Produits d'hygiène dentaire;500;2022-09-29 22:28:00.0000000
121;Richardson;Julia;Female;Saucisson aux herbes;Charcuterie;1400;2022-01-31 14:26:00.0000000
122;Mitchell;Anna;Female;Bouteille de bière Guinness;Bière;1000;2022-04-30 22:52:00.0000000
123;Perez;Monica;Female;Terrine de chevreuil;Charcuterie;1700;2022-09-27 19:01:00.0000000
124;Abubakar;Musa;Male;Démaquillant yeux bi-phasé waterproof L'Oréal;Produits de démaquillage;1200;2022-02-25 10:48:00.0000000
125;Diop;Emeka;Male;Lotion purifiante pour le visage Neutrogena;Produits de soin pour le visage;1200;2022-04-26 07:20:00.0000000
126;Enrick;John;Male;Saucisson à la pistache;Charcuterie;1400;2022-03-03 22:58:00.0000000
127;Young;Lindsay;Female;Gel douche hydratant à la grenade Neutrogena;Produits de douche;1200;2022-04-13 20:03:00.0000000
128;Adams;Leah;Female;Jambon de la Forêt Noire;Charcuterie;2000;2022-09-13 12:30:00.0000000
129;Bonsu;Osei;Male;Boîte de maïs en conserve;Condiment;750;2022-11-05 00:14:00.0000000
130;Young;Lindsay;Female;Démaquillant bi-phasé waterproof Nivea;Produits de démaquillage;1200;2022-04-14 08:26:00.0000000
131;Oumar;Sanaa;Female;Lait hydratant pour le corps Johnson's;Produits de soin pour le corps;1000;2022-11-11 05:41:00.0000000
132;Sanchez;Brenda;Female;Lait hydratant pour le corps Johnson's;Produits de soin pour le corps;1000;2022-11-10 09:51:00.0000000
133;Hernandez;Bella;Female;Saucisson à la pistache;Charcuterie;1800;2022-04-28 19:59:00.0000000
134;Harris;Trinity;Female;Lingettes démaquillantes biodégradables Nivea;Produits de démaquillage;800;2022-01-02 02:56:00.0000000
135;Reed;Phillip;Male;Terrine de sanglier;Charcuterie;1700;2022-12-05 01:09:00.0000000
136;Sow;Binta;Female;Lotion hydratante pour le visage Nivea;Produits de soin pour le visage;1200;2022-12-03 09:00:00.0000000
137;Mensah;Kwame;Male;Jambon d'Auvergne;Charcuterie;2000;2022-07-14 08:05:00.0000000
138;Ibrahim;Aisha;Female;Andouille;Charcuterie;1600;2022-12-14 10:01:00.0000000
139;Bailey;Danielle;Female;Déodorant spray sans gaz propulseur Nivea;Produits d'hygiène;800;2022-02-28 17:08:00.0000000
140;Akinwande;Ayodele;Female;Boîte de mouchoirs en papier Lotus;Hygiène;1000;2022-02-01 09:33:00.0000000
141;Allen;Joshua;Male;Terrine de canard;Charcuterie;1700;2022-04-27 18:09:00.0000000
142;Coleman;Frances;Female;Shampooing hydratant Pantene;Produits de soin capillaire;1500;2022-08-22 00:19:00.0000000
143;Perry;Jimmy;Male;Boudin noir;Charcuterie;1500;2022-10-23 18:52:00.0000000
144;Ogunjobi;Tunde;Male;Pain de mie Jacques;Alimentation;750;2022-03-22 09:47:00.0000000
145;Adekunle;Lamidi;Male;Jambon de Paris;Charcuterie;1400;2022-01-12 17:04:00.0000000
146;Maalouf;Mohammed;Male;Dentifrice reminéralisant Elmex;Produits d'hygiène dentaire;500;2022-10-21 10:36:00.0000000
147;Nwachukwu;Chinelo;Female;Jambon de Parme;Charcuterie;2000;2022-10-23 20:23:00.0000000
148;Davis;Cody;Male;Crème apaisante après-soleil Nivea;Produits de protection solaire;2000;2022-08-17 05:24:00.0000000
149;King;Mila;Female;Gel coiffant effet mat Axe;Produits de coiffure;1500;2022-09-27 20:44:00.0000000
150;Zulu;Sibongile;Female;Dentifrice Signal;Produits d'hygiène dentaire;500;2022-12-13 06:36:00.0000000
151;Diagne;Fatoumata;Female;Déodorant anti-transpirant Vichy;Produits d'hygiène;800;2022-04-10 10:18:00.0000000
152;Adams;Christian;Male;Mortadelle;Charcuterie;1700;2022-12-11 23:51:00.0000000
153;Rodriguez;Lisa;Female;Lingettes démaquillantes biodégradables à l'huile d'amande Neutrogena;Produits de démaquillage;800;2022-03-09 02:09:00.0000000
154;Richardson;Joseph;Male;Gel nettoyant visage La Roche-Posay;Produits de soin pour le visage;1800;2022-02-09 06:52:00.0000000
155;Mensah;Kwame;Male;Bouteille de shampoing Head & Shoulders;Hygiène;1500;2022-05-03 14:57:00.0000000
156;Richardson;Chloe;Female;Jambon de Vendée;Charcuterie;1500;2022-01-11 11:11:00.0000000
157;Clark;Scott;Male;Déodorant sans aluminium Nivea;Produits d'hygiène;800;2022-01-06 12:51:00.0000000
158;Eze;Ngozi;Female;Gel douche Nivea;Produits de douche;1200;2022-08-14 00:53:00.0000000
159;Moore;William;Male;Terrine de faisan aux raisins;Charcuterie;1700;2022-06-16 17:38:00.0000000
160;Nelson;Edward;Male;Saucisse de Toulouse;Charcuterie;1600;2022-12-31 12:34:00.0000000
161;Reed;Patrick;Male;Crème de jour anti-rides Nivea;Produits de soin pour le visage;1200;2022-11-18 01:43:00.0000000
162;Jalloh;Jelani;Male;Paquet de chips Pringles;Snack;1000;2022-01-16 21:01:00.0000000
163;Miller;Hazel;Female;Gel coiffant effet mouillé Schwarzkopf;Produits de coiffure;1500;2022-05-08 18:40:00.0000000
164;Bah;Saidou;Male;Lingettes démaquillantes biodégradables Nivea;Produits de démaquillage;800;2022-07-20 11:45:00.0000000
165;Reed;Nicole;Female;Saucisse au poivre;Charcuterie;1600;2022-09-03 19:50:00.0000000
166;Morris;Alyssa;Female;Rillettes de thon;Charcuterie;1500;2022-12-31 05:03:00.0000000
167;Adams;Dorothy;Female;Baume après-rasage sans alcool Nivea;Produits de rasage;700;2022-05-23 14:42:00.0000000
168;Adams;Dorothy;Female;Paquet de café Nescafé;Café;1500;2022-07-04 18:01:00.0000000
169;Coleman;Billy;Male;Déodorant roll-on sans alcool Nivea;Produits d'hygiène;800;2022-01-14 10:21:00.0000000
170;Collins;Steven;Male;Rillettes de saumon;Charcuterie;1500;2022-11-12 16:05:00.0000000
171;Akinwande;Ayodele;Female;Dentifrice protection caries Sensodyne;Produits d'hygiène dentaire;500;2022-03-25 02:51:00.0000000
172;Okoro;Uzoma;Male;Jambon de l'Ardèche;Charcuterie;2000;2022-09-17 11:25:00.0000000
173;Eze;Chukwudi;Male;Lingettes démaquillantes apaisantes Nivea;Produits de démaquillage;800;2022-10-16 06:45:00.0000000
174;Touré;Nadira;Female;Paquet de biscottes;Biscuits;750;2022-12-24 18:22:00.0000000
175;Bello;Idris;Male;Baume à lèvres Labello;Produits de soin des lèvres;700;2022-02-28 02:36:00.0000000
176;Parker;Charles;Male;Pâté de marcassin;Charcuterie;1900;2022-12-24 05:23:00.0000000
177;Maalouf;Mohammed;Male;Paquet de riz complet;Alimentation;1500;2022-12-11 01:13:00.0000000
178;Bailey;Caroline;Female;Sachet de feuilles de thé;Thé;500;2022-05-04 14:24:00.0000000
179;Cissé;Aminata;Female;Jambon de la Forêt Noire;Charcuterie;2000;2022-04-04 07:43:00.0000000
180;Adeleke;Tunde;Male;Crème pour les mains Neutrogena;Produits de soin pour les mains;1000;2022-03-03 23:10:00.0000000
181;Sanchez;Brenda;Female;Déodorant Rexona;Produits d'hygiène;800;2022-04-19 03:11:00.0000000
182;Price;Brittany;Female;Dentifrice bio blanchissant Lavera;Produits d'hygiène dentaire;500;2022-07-14 01:41:00.0000000
183;Richardson;Chloe;Female;Déodorant sans aluminium Nivea;Produits d'hygiène;800;2022-07-13 01:44:00.0000000
184;Diop;Sekou;Male;Lotion pour le corps Dove;Produits de soin pour le corps;1200;2022-03-02 06:29:00.0000000
185;Coleman;Frances;Female;Jambon de l'Ardèche;Charcuterie;2000;2022-03-26 09:55:00.0000000
186;Garcia;Ashley;Female;Crème solaire enfant biodégradable Uriage;Produits de protection solaire;2000;2022-10-25 10:58:00.0000000
187;Washington;Hannah;Female;Bouteille de sauce tomate;Condiment;500;2022-08-21 09:04:00.0000000
188;Mensah;Kwadwo;Male;Soin liftant anti-âge L'Oréal;Produits de soin pour le visage;2500;2022-01-25 17:53:00.0000000
189;Adekunle;Femi;Male;Sachet de grains de café arabica;Café;1000;2022-03-05 12:25:00.0000000
190;Rivera;Kevin;Male;Masque purifiant à l'argile L'Oréal;Produits de soin pour le visage;1800;2022-11-23 23:58:00.0000000
191;Martinez;Ava;Female;Crème solaire Nivea;Produits de protection solaire;2000;2022-12-18 03:40:00.0000000
192;Robinson;Philip;Male;Rillettes de canard;Charcuterie;1400;2022-06-23 19:20:00.0000000
193;Green;Adrian;Male;Crème réparatrice Cicabiafine;Produits de soin pour le corps;1500;2022-01-27 18:25:00.0000000
194;Gonzalez;Russell;Male;Sachet de popcorn;Snack;500;2022-12-07 12:53:00.0000000
195;Oumar;Sanaa;Female;Chorizo;Charcuterie;2000;2022-01-21 20:53:00.0000000
196;Wright;Nancy;Female;Shampooing anti-chute Vichy;Produits de soin capillaire;1800;2022-07-31 09:08:00.0000000
197;Nkrumah;Fatima;Female;Bouteille de bière Guinness;Bière;1000;2022-04-30 22:53:00.0000000
198;Brooks;Brian;Male;Bouteille de sauce tomate;Condiment;500;2022-12-27 04:18:00.0000000
199;Nwadike;Ngozi;Female;Saucisse de Strasbourg;Charcuterie;1600;2022-02-15 05:14:00.0000000
200;Scott;Ronald;Male;Boîte de conserve de thon Petit Navire;Poisson;1000;2022-05-27 21:12:00.0000000
201;Amoako;Kwasi;Male;Paquet de cacahuètes;Snack;750;2022-05-07 10:23:00.0000000
202;Nwachukwu;Chinelo;Female;Rillettes de canard;Charcuterie;1400;2022-05-09 12:28:00.0000000
203;Asante;Yaa;Female;Saucisson à l'Espelette;Charcuterie;1400;2022-03-31 20:02:00.0000000
204;Evans;Jeremy;Male;Pot de yaourt Danone;Produits laitiers;750;2022-09-28 08:00:00.0000000
205;Sow;Adiza;Female;Saucisse de Toulouse;Charcuterie;1600;2022-06-27 20:32:00.0000000
206;Young;Christine;Female;Crème de nuit nourrissante Nivea;Produits de soin pour le visage;1200;2022-03-21 06:52:00.0000000
207;Green;Mark;Male;Paquet de café Nescafé;Café;1500;2022-01-22 07:02:00.0000000
208;Price;Scarlett;Female;Coppa;Charcuterie;1600;2022-12-14 11:11:00.0000000
209;Adekunle;Femi;Male;Gel douche hydratant à la grenade Neutrogena;Produits de douche;1200;2022-09-22 08:58:00.0000000
210;Richardson;Joseph;Male;Bouteille de bière Guinness;Bière;1000;2022-01-25 23:31:00.0000000
211;Nnamdi;Emeka;Male;Terrine de canard;Charcuterie;1700;2022-12-30 23:32:00.0000000
212;Cox;Ryan;Male;Barre de chocolat Milka;Chocolat;750;2022-09-14 13:33:00.0000000
213;Bennett;Timothy;Male;Boîte de mouchoirs en papier Lotus;Hygiène;1000;2022-03-17 21:40:00.0000000
214;Green;Brandon;Male;Pâté de foie;Charcuterie;1100;2022-11-14 04:18:00.0000000
215;Allen;Miranda;Female;Shampooing hydratant Timotei;Produits de soin capillaire;1500;2022-10-31 02:53:00.0000000
216;Turner;Andrew;Male;Démaquillant bi-phasé Maybelline;Produits de démaquillage;1200;2022-03-07 17:01:00.0000000
217;Bailey;Melissa;Female;Gel douche exfoliant au sel marin Neutrogena;Produits de douche;1200;2022-09-15 06:33:00.0000000
218;Coleman;Cassandra;Female;Sachet de thé vert;Thé;500;2022-07-08 23:38:00.0000000
219;Harris;Trinity;Female;Dentifrice blancheur Oral-B;Produits d'hygiène dentaire;500;2022-08-01 16:39:00.0000000
220;Hernandez;William;Male;Spray corporel Axe;Produits de soin pour le corps;800;2022-01-01 10:03:00.0000000
221;Young;Lindsay;Female;Terrine de campagne;Charcuterie;1900;2022-02-05 05:06:00.0000000
222;Mensah;Kwadwo;Male;Boîte de maïs en conserve;Condiment;750;2022-08-29 21:47:00.0000000
223;Jackson;John;Male;Rillettes de volaille;Charcuterie;1500;2022-04-16 05:50:00.0000000
224;Johnson;Alex;Male;Bouteille de vin rouge Merlot;Vin;2500;2022-01-24 12:52:00.0000000
225;Martin;Richard;Male;Déodorant Rexona;Produits d'hygiène;800;2022-01-10 00:32:00.0000000
226;Murphy;Owen;Male;Rillettes de lapin;Charcuterie;1300;2022-08-15 13:04:00.0000000
227;Amponsah;Kwaku;Male;Saucisson à l'anis;Charcuterie;1400;2022-10-20 12:31:00.0000000
228;Jalloh;Jelani;Male;Dentifrice bio Logodent;Produits d'hygiène dentaire;500;2022-04-25 03:37:00.0000000
229;Adekunle;Lamidi;Male;Rillettes de dinde;Charcuterie;1300;2022-03-14 10:34:00.0000000
230;Young;Victoria;Female;Déodorant spray sans gaz propulseur Nivea;Produits d'hygiène;800;2022-01-29 16:16:00.0000000
231;Parker;Charles;Male;Crème de jour hydratante Nivea;Produits de soin pour le visage;1200;2022-08-28 14:09:00.0000000
232;Rivera;Jacob;Male;Sachet de thé à la menthe;Thé;500;2022-10-09 01:49:00.0000000
233;Russell;Wyatt;Male;Jambon de Paris;Charcuterie;1400;2022-06-27 03:28:00.0000000
234;Richardson;Carter;Male;Pâté de lapin aux noix;Charcuterie;1800;2022-06-16 14:29:00.0000000
235;Eze;Nneka;Female;Sachet de sucre roux;Sucrerie;500;2022-03-18 17:57:00.0000000
236;Eze;Chukwudi;Male;Jambon d'Auvergne;Charcuterie;2000;2022-05-12 05:06:00.0000000
237;Zulu;Sibongile;Female;Soin hydratant matifiant Vichy;Produits de soin pour le visage;2500;2022-10-19 13:57:00.0000000
238;Adeleke;Tunde;Male;Rillettes de thon;Charcuterie;1500;2022-05-30 08:11:00.0000000
239;Powell;Nicholas;Male;Saucisson aux noisettes;Charcuterie;1400;2022-11-21 18:26:00.0000000
240;White;Joseph;Male;Sachet de sucre roux;Sucrerie;500;2022-07-25 12:20:00.0000000
241;Boateng;Adjoa;Female;Saucisson aux noisettes;Charcuterie;1400;2022-02-08 09:40:00.0000000
242;Anang;Kwesi;Male;Rillettes de saumon;Charcuterie;1500;2022-04-05 14:33:00.0000000
243;Eze;Nneka;Female;Barre de chocolat Milka;Chocolat;750;2022-09-09 11:34:00.0000000
244;Smith;Olivia;Female;Sachet de thé à la menthe;Thé;500;2022-10-07 05:45:00.0000000
245;Miller;Robert;Male;Démaquillant pour les yeux bi-phasé Nivea;Produits de démaquillage;1200;2022-07-16 18:17:00.0000000
246;Rodriguez;Lisa;Female;Paquet de chips Pringles;Snack;1000;2022-09-29 07:12:00.0000000
247;Price;Willie;Male;Saucisse de Morteau;Charcuterie;1600;2022-08-02 23:27:00.0000000
248;Cox;Caitlin;Female;Crème pour les pieds Scholl;Produits de soin pour les pieds;1500;2022-04-13 23:11:00.0000000
